ticker,provider_name,source_family,attempt_status,network_used,cache_used,fetch_attempted,fetch_error_type,fetch_error_message,rows_returned,last_price_date,last_close,avg_volume_20d,avg_volume_60d,raw_cache_path
VFS,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VDS,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VIG,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
TVS,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VRE,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VNE,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VOS,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VTP,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
TLH,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VIX,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VND,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VSC,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VGI,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VCG,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VNM,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
TVN,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VJC,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VTZ,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
YEG,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VCI,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VFS,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VDS,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VIG,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
TVS,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VRE,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VNE,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VOS,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
VTP,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
TLH,vnstock_market_data,static_github_historical,HISTORICAL_FALLBACK_ONLY,False,False,False,StaticHistoricalFallback,Static fallback is not used as current confirmation in 04C.,0,,,,,
