ticker,primary_source_family,primary_last_price_date,primary_last_close,provider_name,source_family,candidate_independent_from_primary,provider_last_price_date,provider_last_close,price_date_gap_days,price_abs_diff,price_pct_diff,provider_is_current_enough,comparison_status,manual_review_flag
VCG,vnstock_vci,2026-06-11,19.6,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VNM,vnstock_vci,2026-06-11,59.2,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
TVN,vnstock_vci,2026-06-11,11.6,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VJC,vnstock_vci,2026-06-11,177.5,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VTZ,vnstock_vci,2026-06-11,20.5,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
YEG,vnstock_vci,2026-06-11,8.53,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VCI,vnstock_vci,2026-06-11,23.4,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VFS,vnstock_vci,2026-06-11,10.3,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VDS,vnstock_vci,2026-06-11,13.85,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VIG,vnstock_vci,2026-06-11,4.4,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
TVS,vnstock_vci,2026-06-11,12.95,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VRE,vnstock_vci,2026-06-11,29.15,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VNE,vnstock_vci,2026-06-11,3.01,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VOS,vnstock_vci,2026-06-11,11.8,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
VTP,vnstock_vci,2026-06-11,64.0,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
TLH,vnstock_vci,2026-06-11,4.38,vnstock_market_data,static_github_historical,False,,,,,,False,HISTORICAL_FALLBACK_ONLY,False
