ticker,period,local_path,file_hash,page_count,backend,text_chars,table_count,extract_status,error,notes
NLG,2025-Q3,data\raw\official_finance_documents\01ie\nlg_2025_q3_financial_statement_b70e7c24682cabd9.pdf,b70e7c24682cabd95d229423896d74a4120ae537f88b948337022522798cfe83,46,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
NLG,2025-Q3,data\raw\official_finance_documents\01ie\nlg_2025_q3_financial_statement_b70e7c24682cabd9.pdf,b70e7c24682cabd95d229423896d74a4120ae537f88b948337022522798cfe83,46,pdfplumber_numeric_table_dump,0,0,NO_TABLES_EXTRACTED,,raw table extraction for numeric evidence dump; no OCR
PVS,2025-Q3,data\raw\official_finance_documents\01ie\pvs_2025_q3_financial_statement_4725c9bda835de61.pdf,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,102,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q3,data\raw\official_finance_documents\01ie\pvs_2025_q3_financial_statement_4725c9bda835de61.pdf,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,102,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q3,data\raw\official_finance_documents\01ie\pvs_2025_q3_financial_statement_4725c9bda835de61.pdf,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,102,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q3,data\raw\official_finance_documents\01ie\pvs_2025_q3_financial_statement_4725c9bda835de61.pdf,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,102,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
PVS,2025-Q3,data\raw\official_finance_documents\01ie\pvs_2025_q3_financial_statement_4725c9bda835de61.pdf,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,102,pdfplumber_numeric_table_dump,0,0,NO_TABLES_EXTRACTED,,raw table extraction for numeric evidence dump; no OCR
SSI,2025-Q3,data\raw\official_finance_documents\01ie\ssi_2025_q3_financial_statement_01d6b4d89d9bad8f.pdf,01d6b4d89d9bad8f7090f0ac66433fad2926ed961e150343a248f2293d0bfe06,73,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2025-Q3,data\raw\official_finance_documents\01ie\ssi_2025_q3_financial_statement_01d6b4d89d9bad8f.pdf,01d6b4d89d9bad8f7090f0ac66433fad2926ed961e150343a248f2293d0bfe06,73,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2025-Q3,data\raw\official_finance_documents\01ie\ssi_2025_q3_financial_statement_01d6b4d89d9bad8f.pdf,01d6b4d89d9bad8f7090f0ac66433fad2926ed961e150343a248f2293d0bfe06,73,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
