ticker,period,document_type,source_url,issue,manual_review_required,priority,notes
NLG,2025-Q4,,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Hop-nhat-EN.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025-Q4,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC Hop nhat Q4 2025_web.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
SSI,2025-Q4,,https://www.ssi.com.vn/upload/files/IR/20260130_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_4_nam_2025.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
SSI,2025-Q4,,https://www.ssi.com.vn/upload/files/IR/20260130_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_4_nam_2025.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2025-Q3,,https://www.namlongvn.com/uploads/2025/10/20251029_NLG_CBTT-Bao-cao-tai-chinh-Quy-3.2025_Hop-nhat_EN.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2025-Q3,,https://www.namlongvn.com/uploads/2025/10/20251029_NLG_CBTT-Bao-cao-tai-chinh-Quy-3.2025_Hop-nhat_EN.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025-Q3,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/VIE EN_BCTC Hop nhat_Quy 3.2025.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
PVS,2025-Q3,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/VIE EN_BCTC Hop nhat_Quy 3.2025.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
SSI,2025-Q3,,https://www.ssi.com.vn/upload/files/IR/SSI_Bao_cao_tai_chinh_hop_nhat_Quy_3_nam_2025%20(1).pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
SSI,2025-Q3,,https://www.ssi.com.vn/upload/files/IR/SSI_Bao_cao_tai_chinh_hop_nhat_Quy_3_nam_2025%20(1).pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2025-Q2,,https://www.namlongvn.com/uploads/2025/07/20250725-nlg-cbtt-bao-cao-tai-chinh-quy-2-2025-hop-nhat-en.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2025-Q2,,https://www.namlongvn.com/uploads/2025/07/20250725-nlg-cbtt-bao-cao-tai-chinh-quy-2-2025-hop-nhat-en.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025-Q2,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/BCTC Q2_Webiste.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
