ticker,period,local_path,file_hash,page_number,text_snippet,detected_unit,notes
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,11,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,12,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,13,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,14,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,15,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,16,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,17,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,18,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,19,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,20,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
