ticker,source_html_url,source_html_local_path,official_domain,depth1_url,depth1_domain,anchor_text,file_extension,document_type_guess,period_guess,score,download_attempted,download_status,local_path,file_hash,manual_review_required,reason,notes
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/dau-an-2025/du-an-ai-noi-bat/,bctn2025.fpt.com,Dự án AI nổi bật,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/dau-an-2025/giai-thuong-tieu-bieu/,bctn2025.fpt.com,Giải thưởng tiêu biểu,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/dau-an-2025/hoat-dong-noi-bat/,bctn2025.fpt.com,Xem thêm,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/en/,bctn2025.fpt.com,,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/phan-tich-hoat-dong-kinh-doanh/danh-gia-chung/,bctn2025.fpt.com,Xem thêm,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/quan-tri-cong-ty/bao-cao-ban-kiem-soat/,bctn2025.fpt.com,Báo cáo Ban Kiểm soát,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/quan-tri-cong-ty/bao-cao-hdqt/,bctn2025.fpt.com,Báo cáo của HĐQT,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/quan-tri-cong-ty/danh-gia-cua-hoi-dong-quan-tri-doc-lap/,bctn2025.fpt.com,Đánh giá của HĐQT độc lập,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/quan-tri-cong-ty/quan-tri-cong-ty-nam-2025/,bctn2025.fpt.com,Quản trị công ty năm 2025,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/thong-diep-ban-lanh-dao/thong-diep-chu-tich-hdqt/,bctn2025.fpt.com,Thông điệp Chủ tịch HĐQT,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
