ticker,event_date,event_type,severity,title,description,source,source_url,fetch_time,confidence_raw,notes,source_category,source_name,evidence_status,raw_list_type
BCG,2025-07-09,WARNING_LIST,medium,Công ty Cổ phần Tập đoàn Bamboo Capital,Tổ chức niêm yết chưa họp ĐHĐCĐ thường niên quá 6 tháng kể từ ngày kết thúc năm tài chính.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
TCD,2025-07-09,WARNING_LIST,medium,Công ty Cổ phần Tập đoàn Xây dựng Tracodi,Tổ chức niêm yết chưa họp ĐHĐCĐ thường niên quá 6 tháng kể từ ngày kết thúc năm tài chính.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
VNE,2024-04-11,WARNING_LIST,medium,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam,Lợi nhuận sau thuế chưa phân phối trên BCTC hợp nhất kiểm toán năm 2024 là số âm.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
HAS,2025-04-11,WARNING_LIST,medium,Công ty Cổ phần HACISCO,Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2025 là số âm căn cứ BCTC Hợp nhất kiểm toán năm 2025.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
VNE,2026-04-24,CONTROL_LIST,high,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam,Tổ chức niêm yết chậm nộp báo cáo tài chính năm 2025 đã được kiểm toán quá 30 ngày so với thời hạn quy định.,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
SBV,2026-04-24,CONTROL_LIST,high,Công ty Cổ phần Siam Brothers Việt Nam,Lợi nhuận sau thuế trên BCTC Hợp nhất kiểm toán trong 02 năm gần nhất (2024 và 2025) của tổ chức niêm yết là số âm.,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
HAS,2026-04-13,CONTROL_LIST,high,Công ty Cổ phần HACISCO,Lợi nhuận sau thuế của cổ đông công ty mẹ trên BCTC Hợp nhất kiểm toán năm 2024 và năm 2025 là số âm.,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
ABS,2025-04-10,CONTROL_LIST,high,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm đã được kiểm toán trong 2 năm liên tiếp (năm 2024 và năm 2025) của tổ chức niêm yết.,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
SBV,2026-04-10,CONTROL_LIST,high,Công ty Cổ phần Siam Brothers Việt Nam,"Tổ chức niêm yết vi phạm chậm nộp báo cáo tài chính kiểm toán năm (2024, 2025) đã được kiểm toán trong 2 năm liên tiếp",hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
DQC,2025-04-17,CONTROL_LIST,high,Công ty Cổ phần Tập đoàn Điện Quang,"Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm đã được kiểm toán trong 2 năm liên tiếp (năm 2024 và năm 2025) của tổ chức niêm yết., Tổ chức kiểm toán có ý kiến ngoại trừ đối với báo cáo tài chính hợp nhất kiểm toán năm 2025.",hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
DRH,2025-04-15,CONTROL_LIST,high,Công ty Cổ phần DRH Holdings,"Lợi nhuận sau thuế của cổ đông công ty mẹ trên BCTC Hợp nhất kiểm toán trong 02 năm gần nhất (2023, 2024) của tổ chức niêm yết là số âm., Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm đã được kiểm toán trong 2 năm liên tiếp (năm 2023 và năm 2024) của tổ chức niêm yết.",hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
VNE,2025-09-08,CONTROL_LIST,high,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam,"Lợi nhuận sau thuế của cổ đông công ty mẹ trên báo cáo tài chính hợp nhất kiểm toán năm 2023 và năm 2024 là số âm., Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm đã được kiểm toán trong 2 năm liên tiếp (năm 2023 và năm 2024) của tổ chức niêm yết., Tổ chức niêm yết vi phạm chậm nộp báo cáo tài chính năm đã được kiểm toán trong 2 năm liên tiếp.",hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
TDH,2023-04-13,CONTROL_LIST,high,Công ty Cổ phần Phát triển Nhà Thủ Đức,"Lợi nhuận sau thuế của công ty mẹ trên báo cáo tài chính hợp nhất kiểm toán trong 02 năm gần nhất (2023, 2024) của tổ chức niêm yết là số âm.",hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
HVN,2025-12-10,CONTROL_LIST,high,Tổng Công ty Hàng không Việt Nam - CTCP,"Tổ chức niêm yết có kết quả kinh doanh thua lỗ trong 02 năm liên tục (2020, 2021).",hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,2026-06-05T04:41:56+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=CONTROL_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:control_list,POSITIVE_CONTROL_CONFIRMED,CONTROL_LIST
DRH,2026-04-24,TRADING_RESTRICTION,high,Công ty Cổ phần DRH Holdings,Tổ chức niêm yết chậm nộp báo cáo tài chính năm 2025 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,2026-06-05T04:42:09+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=TRADING_RESTRICTION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:trading_restriction_list,POSITIVE_CONTROL_CONFIRMED,TRADING_RESTRICTION_LIST
DGC,2026-04-23,TRADING_RESTRICTION,high,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Tổ chức niêm yết chậm nộp báo cáo tài chính năm 2025 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,2026-06-05T04:42:09+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=TRADING_RESTRICTION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:trading_restriction_list,POSITIVE_CONTROL_CONFIRMED,TRADING_RESTRICTION_LIST
BCG,2025-04-23,TRADING_RESTRICTION,high,Công ty Cổ phần Tập đoàn Bamboo Capital,Tổ chức niêm yết chậm nộp báo cáo tài chính soát xét bán niên năm 2025 quá 45 ngày so với thời hạn quy định.,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,2026-06-05T04:42:09+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=TRADING_RESTRICTION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:trading_restriction_list,POSITIVE_CONTROL_CONFIRMED,TRADING_RESTRICTION_LIST
TCD,2025-09-22,TRADING_RESTRICTION,high,Công ty Cổ phần Tập đoàn Xây dựng Tracodi,Tổ chức niêm yết chậm nộp báo cáo tài chính soát xét bán niên năm 2025 quá 45 ngày so với thời hạn quy định.,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,2026-06-05T04:42:09+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=TRADING_RESTRICTION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:trading_restriction_list,POSITIVE_CONTROL_CONFIRMED,TRADING_RESTRICTION_LIST
VMD,2025-09-23,TRADING_RESTRICTION,high,Công ty Cổ phần Y Dược phẩm Vimedimex,Tổ chức niêm yết tiếp tục vi phạm quy định về công bố thông tin sau khi đã bị đưa vào diện hạn chế giao dịch.,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,2026-06-05T04:42:09+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=TRADING_RESTRICTION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:trading_restriction_list,POSITIVE_CONTROL_CONFIRMED,TRADING_RESTRICTION_LIST
HVN,2025-12-10,TRADING_RESTRICTION,high,Tổng Công ty Hàng không Việt Nam - CTCP,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,2026-06-05T04:42:09+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=TRADING_RESTRICTION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:trading_restriction_list,POSITIVE_CONTROL_CONFIRMED,TRADING_RESTRICTION_LIST
BCG,2026-05-13,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần Tập đoàn Bamboo Capital,Chậm công bố thông tin Báo cáo tài chính quý 1 năm 2026 lần 2.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
TCD,2026-05-13,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần Tập đoàn Xây dựng Tracodi,Chậm công bố thông tin Báo cáo tài chính quý 1 năm 2026 lần 2.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
VNE,2026-05-13,DISCLOSURE_VIOLATION,medium,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam,Chậm công bố thông tin Báo cáo tài chính quý 1 năm 2026 lần 2.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
PTL,2026-05-06,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần Victory Group,Chậm công bố thông tin thay đổi nhân sự.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
VMD,2026-05-06,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần Y Dược phẩm Vimedimex,Chậm công bố thông tin Báo cáo tài chính quý 1 năm 2026.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
BCG,2026-05-05,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần Tập đoàn Bamboo Capital,Chậm công bố thông tin Báo cáo tài chính quý 1 năm 2026.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
TCD,2026-05-05,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần Tập đoàn Xây dựng Tracodi,Chậm công bố thông tin Báo cáo tài chính quý 1 năm 2026.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
VNE,2026-05-05,DISCLOSURE_VIOLATION,medium,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam,Chậm công bố thông tin Báo cáo tài chính quý 1 năm 2026.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
BCG,2026-05-04,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần Tập đoàn Bamboo Capital,Chậm công bố thông tin Báo cáo thường niên năm 2025 lần 2.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
DRH,2026-05-04,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần DRH Holdings,Chậm công bố thông tin Báo cáo thường niên năm 2025 lần 2.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
TCD,2026-05-04,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần Tập đoàn Xây dựng Tracodi,Chậm công bố thông tin Báo cáo thường niên năm 2025 lần 2.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
VNE,2026-05-04,DISCLOSURE_VIOLATION,medium,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam,Chậm công bố thông tin Báo cáo thường niên năm 2025 lần 2.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
BCG,2026-04-22,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần Tập đoàn Bamboo Capital,Chậm công bố thông tin Báo cáo thường niên năm 2025.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
DRH,2026-04-22,DISCLOSURE_VIOLATION,medium,Công ty Cổ phần DRH Holdings,Chậm công bố thông tin Báo cáo thường niên năm 2025.,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,2026-06-05T04:42:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=DISCLOSURE_VIOLATION_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:disclosure_violation_list,POSITIVE_CONTROL_CONFIRMED,DISCLOSURE_VIOLATION_LIST
