balanced_rank,raw_rank,ticker,exchange,sector_raw,sector_bucket,firm_type,raw_evidence_priority_score,balanced_evidence_priority_score,liquidity_score,data_completeness_score,finance_sanity_score,source_coverage_score,market_crosscheck_status,finance_crosscheck_status,balance_action,evidence_stage,manual_review_required,reason,stage,eligibility_status,demotion_reason,current_market_rank
35,50,TSC,HOSE,"Nguyên vật liệu / Hóa chất / Hóa chất / Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Nguyên vật liệu,non_financial,58.2914,58.2914,67.2213,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,35
36,51,TNH,HOSE,Dược phẩm và Y tế / Y tế / Thiết bị và Dịch vụ Y tế / Chăm sóc y tế,Dược phẩm và Y tế,non_financial,58.1598,58.1598,66.7828,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,36
37,59,TLG,HOSE,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng gia dụng / Đồ gia dụng một lần,Hàng Tiêu dùng,non_financial,57.3388,57.3388,64.0462,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,37
38,65,TDG,HOSE,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Nước & Khí đốt / Phân phối xăng dầu & khí đốt",Tiện ích Cộng đồng,non_financial,57.0073,57.0073,62.9411,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,38
39,66,VLC,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,Hàng Tiêu dùng,non_financial,56.8138,56.8138,62.296,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,39
40,68,VNB,UPCoM,"Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Sách, ấn bản & sản phẩm văn hóa",Dịch vụ Tiêu dùng,non_financial,56.7131,56.7131,61.9602,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,40
41,70,VOC,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,Hàng Tiêu dùng,non_financial,56.1846,56.1846,60.1986,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,41
42,79,TDM,HOSE,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Nước & Khí đốt / Nước",Tiện ích Cộng đồng,non_financial,55.2302,55.2302,57.0172,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,42
43,84,VTC,HNX,Công nghệ Thông tin / Công nghệ Thông tin / Thiết bị và Phần cứng / Thiết bị viễn thông,Công nghệ Thông tin,non_financial,55.0833,55.0833,56.5276,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,43
44,88,TTN,UPCoM,Viễn thông / Viễn thông / Viễn thông cố định / Viễn thông cố định,Viễn thông,non_financial,54.6815,54.6815,55.1885,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,44
45,91,VCW,UPCoM,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Nước & Khí đốt / Nước",Tiện ích Cộng đồng,non_financial,54.4637,54.4637,54.4622,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,45
46,93,VTR,UPCoM,Dịch vụ Tiêu dùng / Du lịch và Giải trí / Du lịch & Giải trí / Vận tải hành khách & Du lịch,Dịch vụ Tiêu dùng,non_financial,54.2837,54.2837,53.8624,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,46
47,95,VCP,UPCoM,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Sản xuất & Phân phối Điện / Sản xuất & Phân phối Điện",Tiện ích Cộng đồng,non_financial,54.2111,54.2111,53.6202,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,47
