provider_name,source_family,ticker,attempt_status,network_used,optional_install_used,request_count,error_type,error_message,attempted_at
vietfin,unknown_brokerage_api,VNE,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VOS,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VTP,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,TLH,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VIX,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VND,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VSC,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VGI,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VCG,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VNM,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,TVN,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VJC,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VTZ,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,YEG,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VCI,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VFS,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VDS,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VIG,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,TVS,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VRE,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VNE,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VOS,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,VTP,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
vnstock_market_data,static_github_historical,TLH,PROVIDER_NOT_SUPPORTED,False,False,0,HistoricalFallbackOnly,Static historical fallback is not current confirmation.,2026-06-12T06:24:03+00:00
