ticker,company_name,exchange_if_available,step26_screening_status,step29_screening_status,step29_review_status,step29_market_recovery_status,watchlist_status,shortlist_eligible,shortlist_exclusion_reason,step29_manual_review_required,manual_bctc_required,market_data_available_after_step28,recent_price_available_after_step28,liquidity_data_available_after_step28,step28_fetch_status,step28_fetch_error_type,step28_last_price_date,step28_last_close,step28_last_volume,last_price_date,last_close,avg_volume_20d,avg_volume_60d,last_volume,recent_trading_value,remaining_missing_fields,remaining_block_reasons,finance_quality_status,finance_source_confidence,market_source_confidence,crosscheck_status,verification_status,data_quality_status,confidence_status
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,11.8,10500.0,2026-06-12,11.8,2785.0,4480.0,10500.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,0.5,315200.0,2026-06-12,0.5,912830.0,778020.0,315200.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ACS,Công ty Cổ phần Xây lắp Thương mại 2,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,5.4,9000.0,2026-06-12,5.4,855.0,1111.6667,9000.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,43.7,389800.0,2026-06-12,43.7,707040.0,763691.6667,389800.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,HNX,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-05-27,19.0,100.0,2026-05-27,19.0,227.45,4376.1,100.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ADG,Công ty Cổ phần Clever Group,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-11,8.44,400.0,2026-06-11,8.44,1385.0,4155.0,400.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ADP,Công ty Cổ phần Sơn Á Đông,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,22.8,3300.0,2026-06-12,22.8,3963.05,4870.6833,3300.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ADS,Công ty Cổ phần DAMSAN,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,9.16,57600.0,2026-06-12,9.16,71725.0,97155.0,57600.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
AFC,Công ty Cổ phần Nông Lâm Nghiệp Bình Dương,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_REQUIRED,STILL_BLOCKED_INSUFFICIENT_MARKET_DATA,REJECTED,False,NOT_WATCHLIST_CANDIDATE,False,False,False,False,False,FAILED,SOURCE_RATE_LIMIT_OR_TIMEOUT,,,,,,,,,,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete."", ""STEP28 market refresh failed with error type: SOURCE_RATE_LIMIT_OR_TIMEOUT.""]",CACHE_MISSING,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,INSUFFICIENT_MARKET_DATA,LOW_CONFIDENCE_MARKET_DATA_GAP
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,10.35,75800.0,2026-06-12,10.35,58590.0,67671.6667,75800.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
