ticker,period,period_type,source_document_type,source_url,final_url,local_path,file_hash,page_number,table_index,row_count,col_count,numeric_cell_count,numeric_cell_ratio,finance_anchor_hits,money_unit_hits,table_score,table_status,reject_reason,table_preview
PVS,2026-Q1,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658 PTSC-BTK.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658%20PTSC-BTK.pdf,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,118,1,43,8,14,0.0534,1,1,19.5344,REJECTED_TABLE,GARBLED_PDF_TEXT,(cid:1200)P (cid:264) | OÀN CÔNG | NGHI(cid:1226)P – N(cid:258) | NG L(cid:1132)(cid:1254) | NG C(cid:1244)NG HÒA | XÃ H(cid:1244)I | CH(cid:1258) NGH(cid:428) | A VI(cid:1226)T NA | QU(cid:1236)C | GIA VI(cid:1226)T NA | M | (cid:264) | (cid:1245)c l(cid:1201)p - T | (cid:1269) do - H(cid:1189)nh p | húc | T(cid:1240)NG CÔ | NG TY C(cid:1240) P | H(cid:1194)N
PVS,2026-Q1,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658 PTSC-BTK.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658%20PTSC-BTK.pdf,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,119,1,12,6,2,0.0408,0,0,2.4082,REJECTED_TABLE,GARBLED_PDF_TEXT,T(cid:1241)n | g công t | y C(cid:1241) ph(cid:1195)n | D(cid:1231)ch v(cid:1257) K(cid:1275) thu(cid:1201)t | D(cid:1195)u khí Vi(cid:1227)t Nam trân | tr(cid:1233)ng thông báo. | Pet | roVietna | m Technic | al Services Corpor | ation respectfully anno | unces. | N(cid:751)i nh | (cid:821)n: | KT. T(cid:1240)N | G GIÁM (cid:264)(cid:1236)C | - Nh(cid:1133) t | rên;
NLG,2025,annual,financial_statement,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_f8546e950feec687.pdf,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,1,1,4,1,0,0.0,0,0,-1.5,REJECTED_TABLE,NOT_TABLE_LIKE,ANNUAL | SHAREHOLDERS | MEETING 2025 | 26th April 2025
NLG,2025,annual,financial_statement,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_f8546e950feec687.pdf,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,2,1,6,1,0,0.0,0,0,0.0,REJECTED_TABLE,NOT_TABLE_LIKE,ITEM 2.1 | NAM LON | AUDITED | REPORTS | Presented b | Group CEO
NLG,2025,annual,financial_statement,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_f8546e950feec687.pdf,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,3,1,7,1,0,0.0,0,0,0.0,REJECTED_TABLE,NOT_TABLE_LIKE,MARKET | KEY OPE | 1. Inves | 2. Corp | 3. Mark | 4. Town | 5. Awar
NLG,2025,annual,financial_statement,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_f8546e950feec687.pdf,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,4,1,3,2,0,0.0,0,0,0.0,REJECTED_TABLE,LOW_NUMERIC_CELL_COUNT,I. MARKET & MACRO-ECONOMICS REVIEW THE WORLD Global economic growth (GDP) (%) 2024 continued to be another difficult year for the 6.2 global economy: • Persistent inflation & Tight monetary policies 3.2 2.6 2.7 2.7 • Prolonged geopolitical tension • Subdued investment and productivity growth • Global technology decoupling 2019 2020 2021 2022 2023 2024 Global growth 2024 is steady at 2.7% -3.1 Source: World Bank | VIETNAM Vietnam’s economy demonstrated a remarkable Viet Nam economic growth resili
NLG,2025,annual,financial_statement,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_f8546e950feec687.pdf,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,4,2,25,7,4,0.0444,0,0,4.4444,REJECTED_TABLE,LOW_NUMERIC_CELL_COUNT,THE WORL | D | Global econ | omic growth (GDP) ( | %) | 2024 continu | ed to be anoth | er difficult yea | r for the | 6. | 2 | global econo | my: | • Persisten | t inflation & | Tight monetary | policies | 3.2
NLG,2025,annual,financial_statement,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_f8546e950feec687.pdf,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,5,4,37,9,23,0.2054,0,1,27.0536,REJECTED_TABLE,LOW_NUMERIC_CELL_RATIO,"NAM REAL ESTATE MA | RKET | (HIGH RISE | ) | H | anoi c | ondominium | new | launch | pply | 35,000 | 160% | 30,000 | 140% | Significant disparity in | condo | minium | 120%"
NLG,2025,annual,financial_statement,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_f8546e950feec687.pdf,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,6,3,34,6,34,0.3864,0,0,37.8636,DUMPED_RAW_EVIDENCE,,"ET | NAM REAL ESTATE MARK | ET (LOW RISE) | Hanoi landed property | new launch | Su | pply | 18,000 | 450% | 16,000 | 400% | • | Significant disparity in | landed | 14,000 | 350% | 12,000 | 300%"
NLG,2025,annual,financial_statement,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_f8546e950feec687.pdf,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,7,1,3,2,2,0.5,0,0,5.5,REJECTED_TABLE,LOW_NUMERIC_CELL_COUNT,"II. KEY OPERATION HIGHLIGHTS 1. Investment & Finance • First Credit Rating (A-) by FiinRatings Meeting with local investors • Complete the transfer of Paragon Dai Phuoc to Japanese partner • Successfully organize 02 NLG day events, local and overseas conferences & events. Overseas Meetings with foreign investors 2. Corporate Initiatives • Completed and deployed the group governance model with 05 key businesses • Revitalized Senior Management Team to move towards vision 2030. • Completed the new "
