ticker,period,field_name,issue,manual_review_required,notes
PVS,2025-Q4,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
SSI,2025-Q4,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
PVS,2025,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
NLG,2025-Q3,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
PVS,2025-Q3,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
SSI,2025-Q3,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
NLG,2025-Q2,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
PVS,2026-Q1,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
NLG,2025,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
PVS,2025-Q2,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
NLG,2025-Q1,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS
NLG,2026,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS
PVS,2024-Q4,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS
PVS,2025-Q1,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS
SSI,2026,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS
PVS,2026,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS
HSG,2026,,SKIPPED_UNSUPPORTED_FILE_TYPE,True,UNSUPPORTED_FILE_TYPE:html;SOURCE_BLOCKED_OR_JS_REQUIRED
VGC,2026,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS
FPT,2026,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS
NLG,2025-Q1,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
NLG,2026,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
PVS,2024-Q4,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
PVS,2025-Q1,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
PVS,2026,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
SSI,2026,,SKIPPED_OLD_PERIOD,True,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
