ticker,primary_source_family,primary_last_price_date,primary_last_close,source_family,provider_name,provider_last_price_date,provider_last_close,price_date_gap_days,price_abs_diff,price_pct_diff,provider_is_current_enough,candidate_independent_from_primary,comparison_status,confidence_contribution,manual_review_flag
VCI,vnstock_vci,2026-06-11,23.4,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VFS,vnstock_vci,2026-06-11,10.3,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VDS,vnstock_vci,2026-06-11,13.85,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VIG,vnstock_vci,2026-06-11,4.4,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
TVS,vnstock_vci,2026-06-11,12.95,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VRE,vnstock_vci,2026-06-11,29.15,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VNE,vnstock_vci,2026-06-11,3.01,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VOS,vnstock_vci,2026-06-11,11.8,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VTP,vnstock_vci,2026-06-11,64.0,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
TLH,vnstock_vci,2026-06-11,4.38,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
