provider_name,source_family,ticker,attempt_status,network_allowed,network_used,optional_install_used,request_count,error_type,error_message,attempted_at,elapsed_seconds
vnquant,vndirect_market,VIG,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,TVS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VRE,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VNE,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VOS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VTP,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,TLH,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vietfin,unknown_brokerage_api,VIX,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VND,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VSC,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VGI,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VCG,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VNM,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,TVN,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VJC,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VTZ,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,YEG,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VCI,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VFS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VDS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VIG,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
