ticker,rank,exchange,sector_raw,legacy_last_close,public_last_close,legacy_last_price_date,public_last_price_date,legacy_avg_volume_20d,public_avg_volume_20d,legacy_avg_volume_60d,public_avg_volume_60d,price_abs_diff,price_relative_diff_pct,volume_60d_relative_diff_pct,price_crosscheck_status,volume_crosscheck_status,manual_review_required,reason
TDM,79,HOSE,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Nước & Khí đốt / Nước",,37500.0,,2023-06-30,,34455.0,,67200.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VNR,80,HNX,Tài chính / Bảo hiểm / Bảo hiểm phi nhân thọ / Tái bảo hiểm,,25700.0,,2023-06-30,,28705.0,,32625.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TNS,81,UPCoM,Nguyên vật liệu / Tài nguyên Cơ bản / Kim loại / Thép và sản phẩm thép,,2300.0,,2023-06-30,,11965.0,,15041.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TEG,82,HOSE,Tài chính / Bất động sản / Bất động sản / Bất động sản,,9000.0,,2023-06-30,,180185.0,,195435.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VLB,83,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,,37700.0,,2023-06-30,,326815.0,,246460.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VTC,84,HNX,Công nghệ Thông tin / Công nghệ Thông tin / Thiết bị và Phần cứng / Thiết bị viễn thông,,11500.0,,2023-06-30,,675.0,,535.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VTK,85,UPCoM,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Tư vấn & Hỗ trợ KD,,19859.0,,2023-06-30,,5135.0,,2775.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TMT,86,HOSE,Hàng Tiêu dùng / Ô tô và phụ tùng / Ô tô và phụ tùng / Sản xuất ô tô,,24350.0,,2023-06-30,,31695.0,,31271.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VRC,87,HOSE,Tài chính / Bất động sản / Bất động sản / Bất động sản,,9370.0,,2023-06-30,,142710.0,,81463.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TTN,88,UPCoM,Viễn thông / Viễn thông / Viễn thông cố định / Viễn thông cố định,,8600.0,,2023-06-30,,53120.0,,37383.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
