ticker,rank,url,attempt_status,http_status,row_count,error
TDT,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TDT.csv,FETCHED,200,1239,
TRC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TRC.csv,FETCHED,200,3973,
TIP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TIP.csv,FETCHED,200,1769,
TDM,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TDM.csv,FETCHED,200,1808,
VNR,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNR.csv,FETCHED,200,4298,
TNS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TNS.csv,FETCHED,200,1619,
TEG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TEG.csv,FETCHED,200,1874,
VLB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VLB.csv,FETCHED,200,1694,
VTC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTC.csv,FETCHED,200,5080,
VTK,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTK.csv,FETCHED,200,1131,
TMT,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TMT.csv,FETCHED,200,3350,
VRC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VRC.csv,FETCHED,200,3227,
TTN,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TTN.csv,FETCHED,200,1552,
VC9,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VC9.csv,FETCHED,200,3407,
TIS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TIS.csv,FETCHED,200,3034,
VCW,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCW.csv,FETCHED,200,1644,
VKC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VKC.csv,FETCHED,200,3128,
VTR,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTR.csv,FETCHED,200,933,
VGP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VGP.csv,FETCHED,200,4102,
VCP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCP.csv,FETCHED,200,1632,
UDJ,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/UDJ.csv,FETCHED,200,3234,
THI,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/THI.csv,FETCHED,200,1502,
TV6,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TV6.csv,FETCHED,200,529,
VW3,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VW3.csv,FETCHED,200,797,
THG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/THG.csv,FETCHED,200,2977,
VRG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VRG.csv,FETCHED,200,2159,
TTG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TTG.csv,FETCHED,200,3235,
TOS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TOS.csv,FETCHED,200,453,
TVP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TVP.csv,FETCHED,200,1465,
VNS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNS.csv,FETCHED,200,3725,
TRA,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TRA.csv,FETCHED,200,3641,
TH1,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TH1.csv,FETCHED,200,3392,
UDC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/UDC.csv,FETCHED,200,3236,
TYA,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TYA.csv,FETCHED,200,4333,
VGR,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VGR.csv,FETCHED,200,1304,
VAF,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VAF.csv,FETCHED,200,2008,
VSH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VSH.csv,FETCHED,200,4381,
VFG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VFG.csv,FETCHED,200,3369,
VEF,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VEF.csv,FETCHED,200,1881,
VSE,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VSE.csv,FETCHED,200,1180,
VPL,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VPL.csv,PUBLIC_FILE_MISSING,404,0,HTTP Error 404: Not Found
TJC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TJC.csv,FETCHED,200,3872,
TFC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TFC.csv,FETCHED,200,1893,
TSB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TSB.csv,FETCHED,200,3098,
VPD,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VPD.csv,FETCHED,200,1799,
USD,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/USD.csv,FETCHED,200,1098,
VTB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTB.csv,FETCHED,200,4111,
TID,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TID.csv,FETCHED,200,1135,
TMP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TMP.csv,FETCHED,200,3504,
VMC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VMC.csv,FETCHED,200,4128,
VNA,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNA.csv,FETCHED,200,3693,
VPR,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VPR.csv,FETCHED,200,1622,
VLG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VLG.csv,FETCHED,200,1948,
TNW,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TNW.csv,FETCHED,200,1522,
TN1,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TN1.csv,FETCHED,200,1025,
TDF,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TDF.csv,FETCHED,200,781,
VIF,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VIF.csv,FETCHED,200,1609,
VGG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VGG.csv,FETCHED,200,1828,
VLA,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VLA.csv,FETCHED,200,3220,
VNF,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNF.csv,FETCHED,200,3139,
UNI,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/UNI.csv,FETCHED,200,4233,
VPS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VPS.csv,FETCHED,200,1967,
VID,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VID.csv,FETCHED,200,4113,
TTP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TTP.csv,FETCHED,200,3768,
UPH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/UPH.csv,FETCHED,200,1623,
VNG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNG.csv,FETCHED,200,3375,
VSM,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VSM.csv,FETCHED,200,1485,
WSB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/WSB.csv,FETCHED,200,3181,
VST,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VST.csv,FETCHED,200,3552,
UIC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/UIC.csv,FETCHED,200,3895,
TMS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TMS.csv,FETCHED,200,5388,
XMD,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/XMD.csv,FETCHED,200,1869,
V12,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/V12.csv,FETCHED,200,3365,
TXM,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TXM.csv,FETCHED,200,4128,
VNL,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNL.csv,FETCHED,200,3462,
TST,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TST.csv,FETCHED,200,3867,
TS3,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TS3.csv,FETCHED,200,1352,
VSI,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VSI.csv,FETCHED,200,3119,
VEC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VEC.csv,FETCHED,200,1492,
VE1,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VE1.csv,FETCHED,200,3702,
VCA,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCA.csv,FETCHED,200,3037,
TIE,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TIE.csv,FETCHED,200,3373,
YBM,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/YBM.csv,FETCHED,200,1215,
VMG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VMG.csv,FETCHED,200,2135,
VCC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCC.csv,FETCHED,200,3598,
VNC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNC.csv,FETCHED,200,4117,
TDW,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TDW.csv,FETCHED,200,3147,
VTL,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTL.csv,FETCHED,200,4385,
VE9,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VE9.csv,FETCHED,200,3844,
THB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/THB.csv,FETCHED,200,3642,
VIT,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VIT.csv,FETCHED,200,3409,
TMB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TMB.csv,FETCHED,200,1613,
TVT,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TVT.csv,FETCHED,200,1489,
VC6,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VC6.csv,FETCHED,200,3847,
VET,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VET.csv,FETCHED,200,1385,
V11,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/V11.csv,FETCHED,200,3487,
TVW,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TVW.csv,FETCHED,200,1383,
TTC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TTC.csv,FETCHED,200,4206,
USC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/USC.csv,FETCHED,200,1598,
TMC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TMC.csv,FETCHED,200,4107,
TOT,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TOT.csv,FETCHED,200,1484,
VPB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VPB.csv,FETCHED,200,1466,
UPC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/UPC.csv,FETCHED,200,1541,
VCX,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCX.csv,FETCHED,200,2312,
VTE,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTE.csv,FETCHED,200,1269,
TV3,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TV3.csv,FETCHED,200,3389,
VSN,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VSN.csv,FETCHED,200,1673,
TLP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TLP.csv,FETCHED,200,1388,
VNZ,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNZ.csv,FETCHED,200,119,
YBC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/YBC.csv,FETCHED,200,3748,
