ticker,period,local_path,file_hash,page_number,backend,text_char_count,has_finance_keywords,detected_unit,text_snippet,notes
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,14,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,15,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,16,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,17,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,18,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,19,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,20,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,21,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,22,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,23,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,24,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,25,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,1,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,2,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,3,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,4,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,5,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,6,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,7,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,8,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,9,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,10,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
