ticker,period,document_type,source_url,candidate_url,issue,manual_review_required,priority,notes
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/lien-he,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/thong-diep-tu-hoi-dong-quan-tri,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/doi-tac-chien-luoc/,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/doanh-nghiep/san-pham-dich-vu/tin-dung/cho-vay-quy-dnvvn,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/doanh-nghiep/san-pham-dich-vu/tin-dung/cho-vay-quy-dmcnqg,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/doanh-nghiep/san-pham-dich-vu/tai-khoan-tien-gui/tien-gui-ky-quy,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/ca-nhan/san-pham-dich-vu/ngan-quy,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/ca-nhan/san-pham-dich-vu/ngan-quy/dich-vu-bao-quan-tai-san,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/ca-nhan/san-pham-dich-vu/ngan-quy/thu-tien-theo-tui-niem-phong,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/ca-nhan/san-pham-dich-vu/ngan-quy/thu-doi-tien-khong-du-chuan-luu-thong,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
