ticker,dataset_name,status,reason,notes
NLG,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
SSI,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
VND,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
GAS,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
PVS,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
FPT,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
MWG,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
VGC,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
GMD,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
VHC,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
TCM,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
