dataset_name,ticker,issue,notes
production_universe_builder,CTG,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,CTG,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,MBB,MISSING_FINANCIAL_DATA,
production_universe_builder,MBB,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,MBB,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,ACB,MISSING_FINANCIAL_DATA,
production_universe_builder,ACB,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,ACB,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,HPG,MISSING_FINANCIAL_DATA,
production_universe_builder,HPG,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,HPG,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,HSG,MISSING_FINANCIAL_DATA,
production_universe_builder,HSG,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,HSG,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,VHM,MISSING_FINANCIAL_DATA,
production_universe_builder,VHM,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,VHM,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,KDH,MISSING_FINANCIAL_DATA,
production_universe_builder,KDH,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,KDH,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,NLG,MISSING_FINANCIAL_DATA,
production_universe_builder,NLG,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,NLG,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,SSI,MISSING_FINANCIAL_DATA,
production_universe_builder,SSI,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,SSI,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,VND,MISSING_FINANCIAL_DATA,
production_universe_builder,VND,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,VND,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,GAS,MISSING_FINANCIAL_DATA,
production_universe_builder,GAS,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,GAS,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,PVS,MISSING_FINANCIAL_DATA,
production_universe_builder,PVS,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,PVS,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,FPT,MISSING_FINANCIAL_DATA,
production_universe_builder,FPT,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,FPT,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,MWG,MISSING_FINANCIAL_DATA,
production_universe_builder,MWG,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,MWG,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,VGC,MISSING_FINANCIAL_DATA,
production_universe_builder,VGC,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,VGC,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,GMD,MISSING_FINANCIAL_DATA,
production_universe_builder,GMD,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,GMD,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,VHC,MISSING_FINANCIAL_DATA,
production_universe_builder,VHC,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,VHC,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,TCM,MISSING_FINANCIAL_DATA,
production_universe_builder,TCM,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,TCM,FINANCIAL_DATA_QUALITY_REVIEW,
l0_trash_filter,VCB,MISSING_FINANCIAL_DATA,
l0_trash_filter,VCB,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,VCB,MISSING_ESSENTIAL_FINANCIAL_FIELD_OPERATING_CASH_FLOW,
l0_trash_filter,BID,MISSING_FINANCIAL_DATA,
l0_trash_filter,BID,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,BID,MISSING_ESSENTIAL_FINANCIAL_FIELD_OPERATING_CASH_FLOW,
l0_trash_filter,CTG,MISSING_FINANCIAL_DATA,
l0_trash_filter,CTG,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,CTG,MISSING_ESSENTIAL_FINANCIAL_FIELD_OPERATING_CASH_FLOW,
l0_trash_filter,MBB,MISSING_FINANCIAL_DATA,
l0_trash_filter,MBB,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,MBB,MISSING_ESSENTIAL_FINANCIAL_FIELD_OPERATING_CASH_FLOW,
l0_trash_filter,ACB,MISSING_FINANCIAL_DATA,
l0_trash_filter,ACB,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,ACB,MISSING_ESSENTIAL_FINANCIAL_FIELD_OPERATING_CASH_FLOW,
l0_trash_filter,HPG,MISSING_FINANCIAL_DATA,
l0_trash_filter,HPG,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,HSG,MISSING_FINANCIAL_DATA,
l0_trash_filter,HSG,VERY_LOW_LIQUIDITY,
l0_trash_filter,HSG,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,VHM,MISSING_FINANCIAL_DATA,
l0_trash_filter,VHM,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,KDH,MISSING_FINANCIAL_DATA,
l0_trash_filter,KDH,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,NLG,MISSING_FINANCIAL_DATA,
l0_trash_filter,NLG,VERY_LOW_LIQUIDITY,
l0_trash_filter,NLG,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,SSI,MISSING_FINANCIAL_DATA,
l0_trash_filter,SSI,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,VND,MISSING_FINANCIAL_DATA,
l0_trash_filter,VND,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,GAS,MISSING_FINANCIAL_DATA,
l0_trash_filter,GAS,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,PVS,MISSING_FINANCIAL_DATA,
l0_trash_filter,PVS,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,FPT,MISSING_FINANCIAL_DATA,
l0_trash_filter,FPT,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,MWG,MISSING_FINANCIAL_DATA,
l0_trash_filter,MWG,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,VGC,MISSING_FINANCIAL_DATA,
l0_trash_filter,VGC,VERY_LOW_LIQUIDITY,
l0_trash_filter,VGC,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,GMD,MISSING_FINANCIAL_DATA,
l0_trash_filter,GMD,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,VHC,MISSING_FINANCIAL_DATA,
l0_trash_filter,VHC,VERY_LOW_LIQUIDITY,
l0_trash_filter,VHC,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_trash_filter,TCM,MISSING_FINANCIAL_DATA,
l0_trash_filter,TCM,VERY_LOW_LIQUIDITY,
l0_trash_filter,TCM,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,
l0_basic_investability_filter,VCB,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,VCB,SUSPICIOUS_OUTLIER,
l0_basic_investability_filter,VCB,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,VCB,STALE_DATA,
l0_basic_investability_filter,VCB,LOW_LIQUIDITY,
l0_basic_investability_filter,VCB,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,VCB,MARKET_CAP_MISSING,
l0_basic_investability_filter,VCB,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,VCB,LOW_DATA_COVERAGE,
l0_basic_investability_filter,VCB,SEVERE_DEBT_PRESSURE,
l0_basic_investability_filter,BID,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,BID,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,BID,STALE_DATA,
l0_basic_investability_filter,BID,LOW_LIQUIDITY,
l0_basic_investability_filter,BID,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,BID,MARKET_CAP_MISSING,
l0_basic_investability_filter,BID,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,BID,LOW_DATA_COVERAGE,
l0_basic_investability_filter,BID,SEVERE_DEBT_PRESSURE,
l0_basic_investability_filter,CTG,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,CTG,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,CTG,STALE_DATA,
l0_basic_investability_filter,CTG,LOW_LIQUIDITY,
l0_basic_investability_filter,CTG,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,CTG,MARKET_CAP_MISSING,
l0_basic_investability_filter,CTG,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,CTG,LOW_DATA_COVERAGE,
l0_basic_investability_filter,CTG,SEVERE_DEBT_PRESSURE,
l0_basic_investability_filter,MBB,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,MBB,SUSPICIOUS_OUTLIER,
l0_basic_investability_filter,MBB,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,MBB,STALE_DATA,
l0_basic_investability_filter,MBB,LOW_LIQUIDITY,
l0_basic_investability_filter,MBB,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,MBB,MARKET_CAP_MISSING,
l0_basic_investability_filter,MBB,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,MBB,LOW_DATA_COVERAGE,
l0_basic_investability_filter,MBB,SEVERE_DEBT_PRESSURE,
l0_basic_investability_filter,ACB,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,ACB,SUSPICIOUS_OUTLIER,
l0_basic_investability_filter,ACB,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,ACB,STALE_DATA,
l0_basic_investability_filter,ACB,LOW_LIQUIDITY,
l0_basic_investability_filter,ACB,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,ACB,MARKET_CAP_MISSING,
l0_basic_investability_filter,ACB,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,ACB,LOW_DATA_COVERAGE,
l0_basic_investability_filter,ACB,SEVERE_DEBT_PRESSURE,
l0_basic_investability_filter,HPG,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,HPG,SUSPICIOUS_OUTLIER,
l0_basic_investability_filter,HPG,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,HPG,STALE_DATA,
l0_basic_investability_filter,HPG,LOW_LIQUIDITY,
l0_basic_investability_filter,HPG,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,HPG,MARKET_CAP_MISSING,
l0_basic_investability_filter,HPG,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,HPG,LOW_DATA_COVERAGE,
l0_basic_investability_filter,HSG,L0_REJECT,
l0_basic_investability_filter,VHM,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,VHM,SUSPICIOUS_OUTLIER,
l0_basic_investability_filter,VHM,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,VHM,STALE_DATA,
l0_basic_investability_filter,VHM,LOW_LIQUIDITY,
l0_basic_investability_filter,VHM,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,VHM,MARKET_CAP_MISSING,
l0_basic_investability_filter,VHM,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,VHM,LOW_DATA_COVERAGE,
l0_basic_investability_filter,VHM,ELEVATED_DEBT_PRESSURE,
l0_basic_investability_filter,KDH,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,KDH,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,KDH,STALE_DATA,
l0_basic_investability_filter,KDH,LOW_LIQUIDITY,
l0_basic_investability_filter,KDH,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,KDH,MARKET_CAP_MISSING,
l0_basic_investability_filter,KDH,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,KDH,LOW_DATA_COVERAGE,
l0_basic_investability_filter,KDH,INSUFFICIENT_FINANCIAL_HISTORY,
l0_basic_investability_filter,NLG,L0_REJECT,
l0_basic_investability_filter,SSI,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,SSI,SUSPICIOUS_OUTLIER,
l0_basic_investability_filter,SSI,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,SSI,STALE_DATA,
l0_basic_investability_filter,SSI,LOW_LIQUIDITY,
