ticker,period,local_path,file_hash,page_count,backend,text_chars,table_count,extract_status,error,notes
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,pypdf,5174,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,pymupdf,5076,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,pdfplumber,7490,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,pypdf,5174,0,TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q3,data\raw\official_finance_documents\01ie\nlg_2025_q3_financial_statement_b70e7c24682cabd9.pdf,b70e7c24682cabd95d229423896d74a4120ae537f88b948337022522798cfe83,46,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q3,data\raw\official_finance_documents\01ie\nlg_2025_q3_financial_statement_b70e7c24682cabd9.pdf,b70e7c24682cabd95d229423896d74a4120ae537f88b948337022522798cfe83,46,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q3,data\raw\official_finance_documents\01ie\nlg_2025_q3_financial_statement_b70e7c24682cabd9.pdf,b70e7c24682cabd95d229423896d74a4120ae537f88b948337022522798cfe83,46,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q3,data\raw\official_finance_documents\01ie\nlg_2025_q3_financial_statement_b70e7c24682cabd9.pdf,b70e7c24682cabd95d229423896d74a4120ae537f88b948337022522798cfe83,46,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
PVS,2025-Q3,data\raw\official_finance_documents\01ie\pvs_2025_q3_financial_statement_4725c9bda835de61.pdf,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,102,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q3,data\raw\official_finance_documents\01ie\pvs_2025_q3_financial_statement_4725c9bda835de61.pdf,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,102,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q3,data\raw\official_finance_documents\01ie\pvs_2025_q3_financial_statement_4725c9bda835de61.pdf,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,102,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q3,data\raw\official_finance_documents\01ie\pvs_2025_q3_financial_statement_4725c9bda835de61.pdf,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,102,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
SSI,2025-Q3,data\raw\official_finance_documents\01ie\ssi_2025_q3_financial_statement_01d6b4d89d9bad8f.pdf,01d6b4d89d9bad8f7090f0ac66433fad2926ed961e150343a248f2293d0bfe06,73,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2025-Q3,data\raw\official_finance_documents\01ie\ssi_2025_q3_financial_statement_01d6b4d89d9bad8f.pdf,01d6b4d89d9bad8f7090f0ac66433fad2926ed961e150343a248f2293d0bfe06,73,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2025-Q3,data\raw\official_finance_documents\01ie\ssi_2025_q3_financial_statement_01d6b4d89d9bad8f.pdf,01d6b4d89d9bad8f7090f0ac66433fad2926ed961e150343a248f2293d0bfe06,73,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2025-Q3,data\raw\official_finance_documents\01ie\ssi_2025_q3_financial_statement_01d6b4d89d9bad8f.pdf,01d6b4d89d9bad8f7090f0ac66433fad2926ed961e150343a248f2293d0bfe06,73,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
