dataset_name,record_key,ticker,field_name,observed_values,source_categories,source_names,conflict_status,manual_review_required,notes
disclosure_status,ticker=FPT|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,FPT,source,hnx|ssc,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=FPT|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,FPT,source_url,"https://www.hnx.vn/co-phieu-etfs/chung-khoan-uc-canh-bao-ndt.html, https://www.upboard.hnx.vn/co-phieu-etfs/chung-khoan-ny-khong-ky-quy.html, https://www.hnx.vn/co-phieu-etfs/chung-khoan-ny-thong-tin.html|https://www.ssc.gov.vn/",hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=FPT|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,FPT,title,SOURCE_SSL_FAILED|SOURCE_BLOCKED_OR_JS_REQUIRED,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=FPT|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,FPT,description,public HTML table probe for official disclosure/status list|secondary/discovery-only source; no official status-list parser selected,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=MWG|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,MWG,source,hnx|ssc,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=MWG|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,MWG,source_url,"https://www.hnx.vn/co-phieu-etfs/chung-khoan-uc-canh-bao-ndt.html, https://www.upboard.hnx.vn/co-phieu-etfs/chung-khoan-ny-khong-ky-quy.html, https://www.hnx.vn/co-phieu-etfs/chung-khoan-ny-thong-tin.html|https://www.ssc.gov.vn/",hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=MWG|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,MWG,title,SOURCE_SSL_FAILED|SOURCE_BLOCKED_OR_JS_REQUIRED,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=MWG|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,MWG,description,public HTML table probe for official disclosure/status list|secondary/discovery-only source; no official status-list parser selected,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=VGC|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VGC,source,hnx|ssc,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=VGC|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VGC,source_url,"https://www.hnx.vn/co-phieu-etfs/chung-khoan-uc-canh-bao-ndt.html, https://www.upboard.hnx.vn/co-phieu-etfs/chung-khoan-ny-khong-ky-quy.html, https://www.hnx.vn/co-phieu-etfs/chung-khoan-ny-thong-tin.html|https://www.ssc.gov.vn/",hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
