ticker,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,timing_risk_score,timing_risk_bucket,entry_timing_quality,price_action_context,technical_warning_flags,timing_confidence,timing_manual_review_required,liquidity_risk_score,liquidity_risk_bucket,liquidity_quality,liquidity_warning_flags,liquidity_confidence,liquidity_manual_review_required,manual_review_required,manual_review_reason,missing_fields,evidence_debt_reason,last_price_date,last_close,avg_volume_20d,avg_volume_60d,last_volume,stale_days,trading_days_60d,recent_trading_value
VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,25,LIQUIDITY_RISK_LOW,LIQUIDITY_STRONG,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,23.4,6277985.0,8458236.95,3601800.0,0,60,146904849.0
VFS,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,10.3,1456764.5,1405374.4,438800.0,0,60,15004674.35
VDS,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,13.85,496080.0,672768.3333,416200.0,0,60,6870708.0
VIG,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,4.4,46965.0,61148.3333,17400.0,0,60,206646.0
TVS,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,12.95,44445.0,66781.6667,4300.0,0,60,575562.75
VRE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,25,LIQUIDITY_RISK_LOW,LIQUIDITY_STRONG,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,29.15,5038620.0,6965415.0,1916700.0,0,60,146875773.0
VNE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,3.01,1593910.0,844325.0,382400.0,0,60,4797669.1
VOS,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,11.8,655025.0,1005491.6667,302700.0,0,60,7729295.0
VTP,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,64.0,559980.0,539107.8333,219400.0,0,60,35838720.0
TLH,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,4.38,157870.0,181486.6667,127900.0,0,60,691470.6
