ticker,primary_last_price_date,primary_last_close,primary_avg_volume_20d,primary_avg_volume_60d,primary_trading_days_60d,reference_source_name,reference_last_price_date,reference_last_close,reference_avg_volume_20d,reference_avg_volume_60d,price_date_gap_days,price_abs_diff,price_pct_diff,volume_60d_pct_diff,reference_is_current_enough,reference_is_stale,comparison_status,comparison_reason,manual_review_flag
TVS,2026-06-11,12.95,44445.0,66781.6667,60,raw_cache_current_market_03,2026-06-11,12.95,44445.0,66781.6667,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
TVS,2026-06-11,12.95,44445.0,66781.6667,60,provisional_crosscheck_02_public_historical,2023-06-30,23400.0,109880.0,60266.6667,1077,23387.05,-0.999447,0.108103,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
TVS,2026-06-11,12.95,44445.0,66781.6667,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
TVS,2026-06-11,12.95,44445.0,66781.6667,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VRE,2026-06-11,29.15,5038620.0,6965415.0,60,raw_cache_current_market_03,2026-06-11,29.15,5038620.0,6965415.0,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VRE,2026-06-11,29.15,5038620.0,6965415.0,60,provisional_crosscheck_02_public_historical,2023-06-30,26800.0,3600260.0,3029891.6667,1077,26770.85,-0.998912,1.298899,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VRE,2026-06-11,29.15,5038620.0,6965415.0,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VRE,2026-06-11,29.15,5038620.0,6965415.0,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VNE,2026-06-11,3.01,1593910.0,844325.0,60,raw_cache_current_market_03,2026-06-11,3.01,1593910.0,844325.0,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VNE,2026-06-11,3.01,1593910.0,844325.0,60,provisional_crosscheck_02_public_historical,2023-06-30,12050.0,355710.0,375796.6667,1077,12046.99,-0.99975,1.24676,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VNE,2026-06-11,3.01,1593910.0,844325.0,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VNE,2026-06-11,3.01,1593910.0,844325.0,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VOS,2026-06-11,11.8,655025.0,1005491.6667,60,raw_cache_current_market_03,2026-06-11,11.8,655025.0,1005491.6667,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VOS,2026-06-11,11.8,655025.0,1005491.6667,60,provisional_crosscheck_02_public_historical,2023-06-30,12650.0,2573040.0,2062201.6667,1077,12638.2,-0.999067,-0.512418,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VOS,2026-06-11,11.8,655025.0,1005491.6667,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VOS,2026-06-11,11.8,655025.0,1005491.6667,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VTP,2026-06-11,64.0,559980.0,539107.8333,60,raw_cache_current_market_03,2026-06-11,64.0,559980.0,539107.8333,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VTP,2026-06-11,64.0,559980.0,539107.8333,60,provisional_crosscheck_02_public_historical,2023-06-30,39800.0,777295.0,740021.6667,1077,39736.0,-0.998392,-0.271497,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VTP,2026-06-11,64.0,559980.0,539107.8333,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VTP,2026-06-11,64.0,559980.0,539107.8333,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
TLH,2026-06-11,4.38,157870.0,181486.6667,60,raw_cache_current_market_03,2026-06-11,4.38,157870.0,181486.6667,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
TLH,2026-06-11,4.38,157870.0,181486.6667,60,provisional_crosscheck_02_public_historical,2023-06-30,7890.0,1242480.0,1165110.0,1077,7885.62,-0.999445,-0.844232,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
TLH,2026-06-11,4.38,157870.0,181486.6667,60,provisional_crosscheck_02_legacy_market,,4.6,,,,0.22,-0.047826,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
TLH,2026-06-11,4.38,157870.0,181486.6667,60,legacy_cafef_vnstock_cache,,4.6,,,,0.22,-0.047826,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
