source_name,source_category,dataset_name,ticker,action,status,row_count,http_status_or_error,source_url,notes
vnstock,vnstock,financial_statement_summary,SSI,fetch_finance,ROWS_PARSED,8,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,VND,fetch_finance,ROWS_PARSED,8,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,GAS,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,PVS,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,FPT,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,MWG,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,VGC,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,GMD,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,VHC,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,TCM,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,disclosure_status,VCB,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,BID,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,CTG,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,MBB,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,ACB,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,HPG,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,HSG,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,VHM,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,KDH,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,NLG,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,SSI,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,VND,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,GAS,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,PVS,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
