dataset_name,record_key,ticker,field_name,source_category,source_name,source_priority_rank,value,normalized_value,source_url,fetch_time,confidence_raw,evidence_status,reconciliation_status,notes
universe,ticker=MBB,MBB,fetch_time,vnstock,vnstock:kbs,5,2026-06-04T03:25:28+00:00,2026-06-04t03:25:28+00:00,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=MBB,MBB,confidence_raw,vnstock,vnstock:kbs,5,medium,medium,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=ACB,ACB,ticker,vnstock,vnstock:kbs,5,ACB,acb,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=ACB,ACB,exchange,vnstock,vnstock:kbs,5,HOSE,hose,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=ACB,ACB,company_name,vnstock,vnstock:kbs,5,Ngân hàng TMCP Á Châu,ngân hàng tmcp á châu,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=ACB,ACB,listing_status,vnstock,vnstock:kbs,5,LISTED,listed,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=ACB,ACB,source,vnstock,vnstock:kbs,5,vnstock:kbs,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=ACB,ACB,source_url,vnstock,vnstock:kbs,5,https://vnstocks.com/,https://vnstocks.com/,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=ACB,ACB,fetch_time,vnstock,vnstock:kbs,5,2026-06-04T03:25:28+00:00,2026-06-04t03:25:28+00:00,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=ACB,ACB,confidence_raw,vnstock,vnstock:kbs,5,medium,medium,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HPG,HPG,ticker,vnstock,vnstock:kbs,5,HPG,hpg,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HPG,HPG,exchange,vnstock,vnstock:kbs,5,HOSE,hose,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
